,agency,slot,size,min,max,50-p,50-r,75-p,75-r,85-p,85-r,90-p,90-r,95-p,95-r,96-p,96-r,97-p,97-r,98-p,98-r,99-p,99-r,100-p,100-r
92,34003-35,W,1603,8.0,13441.0,935.0,802,1749.0,401,1880.0,241,2704.0,161,3585.0,81,3630.0,65,4458.0,49,4523.0,33,5433.0,17,13441.0,0
93,34003-36,D,1248,2.0,26076.0,916.0,624,1808.0,312,2814.0,188,4507.0,125,6896.0,63,7417.0,50,8847.0,38,9856.0,25,10816.0,13,26076.0,0
94,34003-36,N,842,4.0,46898.0,1224.0,421,3616.0,211,6324.0,127,9391.0,85,16663.0,43,18853.0,34,21604.0,26,26135.0,17,30968.0,9,46898.0,0
95,34003-36,W,520,358.0,67836.0,1788.0,260,5055.0,130,8077.0,78,9900.0,52,16196.0,26,17972.0,21,18885.0,16,21465.0,11,27915.0,6,67836.0,0
96,34003-37,D,1326,2.0,358673.0,905.0,663,960.0,332,1104.0,199,1786.0,133,2683.0,67,3494.0,54,4831.0,40,22376.0,27,85737.0,14,358673.0,0
97,34003-37,N,1497,182.0,54937.0,909.0,749,1017.0,375,1795.0,225,1836.0,150,2729.0,75,2833.0,60,3599.0,45,4304.0,30,5459.0,15,54937.0,0
98,34003-37,W,1014,176.0,86451.0,919.0,507,1774.0,254,1905.0,153,2717.0,102,3813.0,51,4503.0,41,4882.0,31,6291.0,21,16418.0,11,86451.0,0
99,34003-39,D,139,2.0,216393.0,6308.0,70,34219.0,35,49762.0,21,56674.0,14,64843.0,7,65113.0,6,72224.0,5,74084.0,3,75057.0,2,216393.0,0
100,34003-39,N,199,205.0,86498.0,6311.0,100,15267.0,50,25207.0,30,34456.0,20,79650.0,10,81278.0,8,86333.0,6,86390.0,4,86428.0,2,86498.0,0
101,34003-39,W,102,796.0,86495.0,9877.0,51,34690.0,26,57588.0,16,70218.0,11,84311.0,6,86348.0,5,86360.0,4,86396.0,3,86430.0,2,86495.0,0
102,34003-40,D,846,2.0,66138.0,1044.0,423,3589.0,212,5456.0,127,7660.0,85,14465.0,43,18867.0,34,21621.0,26,28360.0,17,41363.0,9,66138.0,0
103,34003-40,N,317,474.0,47691.0,2758.0,159,8146.0,80,16973.0,48,24270.0,32,33858.0,16,35136.0,13,36876.0,10,37807.0,7,40501.0,4,47691.0,0
104,34003-40,W,309,375.0,67504.0,3600.0,155,9433.0,78,14412.0,47,18016.0,31,27952.0,16,28927.0,13,32400.0,10,33310.0,7,46122.0,4,67504.0,0
105,34003-41,D,432,2.0,170611.0,1836.0,216,8072.0,108,18957.0,65,39620.0,44,52979.0,22,54846.0,18,57665.0,13,62804.0,9,74580.0,5,170611.0,0
106,34003-41,N,203,207.0,48501.0,1806.0,102,7223.0,51,13712.0,31,18753.0,21,26362.0,11,28755.0,9,31238.0,7,37897.0,5,47784.0,3,48501.0,0
107,34003-41,W,155,306.0,182594.0,4532.0,78,17194.0,39,30593.0,24,36001.0,16,69162.0,8,69274.0,7,73526.0,5,75526.0,4,86504.0,2,182594.0,0
108,34003-42,D,2436,2.0,13891.0,902.0,1218,927.0,609,948.0,366,981.0,244,1625.0,122,1778.0,98,1809.0,74,1866.0,49,2738.0,25,13891.0,0
